"Question"	"Answer"
"33. Alegeți asocierile corecte dintre mușchi și artera de la nivelul respectiv:
1. mușchiul trapez - aorta descendentă toracică
2. mușchiul gastrocnemian - artera dorsală a piciorului
3. mușchii pronatori ai mâinii - artera axilară
4. mușchiul semitendinos - artera femurală
5. niciun răspuns corect"	"14"
"34. Otolitele stimulează celulele senzoriale din macule în următoarele situații:
1. accelerare liniară în direcție anterioară
2. accelerare liniară în direcție posterioară
3. accelerare liniară în direcție laterală
4. repaus
5. niciun răspuns corect"	"1234"
"35. Chimul gastric poate conține:
1. gastrină
2. factor intrinsec
3. maltoză
4. proteine nedigerate
5. niciun răspuns corect"	"234"
"36. Următorii nervi pot transmite impulsurile generate la nivelul chemoreceptorilor:
1. nervul vag
2. nervul facial
3. nervul trigemen
4. nervul spinal
5. niciun răspuns corect"	"1234"
"37. Nefrocitele consumă ATP în cursul următoarelor procese:
1. reabsorbția de Na+
2. reabsorbția de K+
3. secreția de H+
4. secreția de Na+
5. niciun răspuns corect"	"123"
"38. Selectați enunțurile corecte referitoare la originea celulelor endocrine:
1. celulele care secretă gastrină provin din endoderm
2. celulele care secretă catecolamine provin din ectoderm
3. celulele care secretă hormonii cu structură lipidică provin din mezoderm
4. celulele care secretă cortizol provin din mezoderm
5. niciun răspuns corect"	"1234"
"39. Celulele epiteliale organizate în cordoane celulare secretă:
1. FSH
2. PTH
3. MSH
4. STH
5. niciun răspuns corect"	"1234"
"40. Porțiunea centrală a fibrei musculare intrafusale prezintă:
1. sarcolemă
2. sarcoplasmă
3. nuclei
4. sarcomere
5. niciun răspuns corect"	"123"
"41. Următoarele procese se realizează prin transport activ:
1. reabsorbția tubulară a ureei
2. absorbția intestinală a aminoacizilor
3. reabsorbția facultativă a apei
4. reabsorbția tubulară a glucozei
5. niciun răspuns corect"	"24"
"42. Sinteza trigliceridelor poate avea loc în:
1. celulele β pancreatice
2. enterocite
3. hepatocite
4. adipocite
5. niciun răspuns corect"	"234"
"43. Substanța albă a emisferei cerebrale cuprinde fibre ce conectează:
1. diencefalul cu lobul occipital
2. talamusul cu lobul parietal
3. metatalamusul cu lobul temporal
4. cortexul cerebral cu nuclei din trunchiul cerebral
5. niciun răspuns corect"	"1234"
"44. Nervii care inervează limba au originea aparentă:
1. în șanțul retroolivar
2. în șanțul preolivar
3. în șanțul bulbo-pontin
4. pe fața anterioară a punții
5. niciun răspuns corect"	"1234"
"45. Spre deosebire de urina primară, cea finală poate conține:
1. eritrocite
2. creatinină
3. sodiu
4. HCO3-
5. niciun răspuns corect"	"1"
"46. Un volum de 1500 ml poate caracteriza:
1. aerul eliminat din capacitatea reziduală funcțională printr-un expir forțat
2. aerul care poate fi inspirat suplimentar peste volumul curent
3. aerul care se adaugă capacității reziduale funcționale, printr-un inspir normal
4. aerul rămas în plămân după coborârea maximală a grilajului costal
5. niciun răspuns corect"	"124"
"47. Despre metabolismul celular sunt corecte afirmațiile:
1. este coordonat de nucleu
2. este una din proprietățile generale ale celulei
3. se desfășoară la nivel citoplasmatic
4. este reglat hormonal
5. niciun răspuns corect"	"1234"
"48. Substanța cenușie a emisferelor cerebrale include:
1. girul postcentral de pe fața laterală a emisferei cerebrale
2. girul hipocampic de pe fața bazală a emisferei cerebrale
3. corpii striați situați superior și lateral de talamus
4. nucleul amigdalian din lobul temporal
5. niciun răspuns corect"	"1234"
"49. Protoneuronii senzitivi/senzoriali pot fi celule nervoase:
1. bipolare
2. pseudounipolare
3. unipolare
4. multipolare
5. niciun răspuns corect"	"12"
"50. Se găsesc numeroși/numeroase:
1. corpi Nissl în pericarion
2. saci de stocare a calciului în vecinătatea miofibrilelor
3. mitocondrii în nefrocite
4. lizozomi în neutrofile
5. niciun răspuns corect"	"1234"
"51. Canalul Wirsung conține:
1. nucleaze
2. fosfolipază
3. insulină
4. inhibitorul tripsinei
5. niciun răspuns corect"	"124"
"52. Următoarele structuri secretă enzime digestive:
1. lobulii hepatici
2. glandele pilorice
3. glandele Brunner
4. acinii pancreatici
5. niciun răspuns corect"	"4"
"53. În hemostază intervin următoarele substanțe:
1. fosfolipide
2. vitamine
3. substanțe minerale
4. proteine plasmatice
5. niciun răspuns corect"	"1234"
"54. În corticala renală nu regăsim:
1. urină primară
2. tubi colectori
3. anse Henle
4. urină finală
5. niciun răspuns corect"	"34"
"55. Mușchiul triceps sural este situat:
1. anterior de tibie
2. distal de bicepsul femural
3. proximal de tarsiene
4. profund de mușchiul tibial posterior
5. niciun răspuns corect"	"23"
"56. Sunt celule haploide:
1. celulele Leydig
2. globulii polari
3. spermatidele
4. celulele foliculare ovariene
5. niciun răspuns corect"	"23"
"57. Celulele organizate în foliculi pot secreta:
1. gametul feminin
2. estrogeni
3. tirozină
4. hormon tireotrop
5. niciun răspuns corect"	"2"
"58. Prezintă organite specifice celule din structura:
1. irisului
2. corpului ciliar
3. retinei
4. cristalinului
5. niciun răspuns corect"	"123"
"59. La nivelul epigastrului se află organe ale căror celule:
1. secretă gastrină
2. secretă mucus
3. secretă pepsină
4. excretă bilirubină
5. niciun răspuns corect"	"124"
"60. La nivel renal, se pot găsi unele vitamine în compoziția lichidului din:
1. capsula Bowman
2. capilarele peritubulare
3. tubul colector
4. sistemul tubular al nefronului
5. niciun răspuns corect"	"1234"
