Message,Ciphertext,Key
8050,32739,61975
29884,15855,1482
32240,5969,33858
21019,63877,15179
56487,54417,60745
59585,35473,2527
53048,14784,62369
38492,31691,49937
28066,56889,64103
48041,15901,21193
26419,4744,58972
51723,31293,46088
17999,45795,54157
45239,29694,4619
10080,50191,55646
63252,13124,63761
2497,27127,39640
9525,25649,61994
54712,33723,20762
51711,62244,53161
26465,54625,23067
38194,31213,23268
29422,9534,5832
47758,12760,42825
1716,20318,32548
11558,57715,13409
27264,57949,35196
45426,43733,32746
55783,13152,64428
45485,63317,1718
22528,41213,22214
3146,810,11134
11394,4780,4026
35168,11815,35443
62097,296,31472
47034,45249,18540
46655,1356,34088
51768,17997,42574
37669,7038,31766
56619,15178,30728
21468,19088,15035
16410,4192,1413
52432,43454,12262
11519,41617,27031
800,9023,22934
36310,27546,37560
20895,57775,48230
46670,47515,45081
44932,15681,53916
56734,13873,30390
35950,36941,60518
55657,13287,54821
9931,8462,9139
56563,35202,12248
47400,35061,5931
38326,40049,30668
59032,18263,62800
15900,7309,12527
40904,25902,5277
52201,39259,49741
41744,39025,46607
36577,4590,1080
20259,7352,3220
5224,16001,16588
25920,33024,33359
32364,5658,14849
5956,1262,31856
53568,51815,45020
58148,18926,57658
42487,5164,28103
34851,63608,16041
26364,55240,28902
32965,17996,54756
35231,36376,6608
48051,24848,27762
62796,46171,30068
42618,12152,28664
6962,40653,60822
36399,44041,39693
29291,13117,5681
23578,9585,9641
26888,22738,55683
37557,28162,23694
50847,17894,51919
51892,10770,40906
54763,54965,5106
3542,11654,33108
35033,56960,60133
1512,3021,43257
65155,7472,63326
54447,37114,54590
56109,31879,2982
17859,53723,36430
21222,63239,14690
55717,18524,56759
53285,61187,50789
49040,26234,47892
64348,54925,50060
6885,38110,20070
4797,4257,54165
7207,45215,29489
57245,29089,38323
63754,5141,13260
55135,13454,10895
54083,20249,41948
14823,41149,34076
13643,11364,59135
64844,36991,63308
42609,33842,56080
44636,53036,11690
41116,38292,32376
35373,44079,6215
39535,42945,56064
54314,4835,24663
23605,26642,7486
23762,35497,5063
14934,40928,45360
38047,43628,18390
60776,45962,36042
14248,54265,51166
19965,785,34825
18145,23381,14320
43720,28043,56232
47221,1741,360
55792,60006,62161
10706,13604,13019
9981,64377,11860
45783,30786,50465
19805,59852,9391
14117,41132,22358
498,19515,12923
4567,32417,63614
35665,32042,21644
6905,51579,41756
8795,21008,28866
5567,58722,48323
3434,28547,47824
11928,50484,41656
2866,9024,1721
7541,27203,40906
11286,30746,14864
57936,48932,11092
41452,60329,55719
30924,23419,60699
50856,10554,60472
64682,58052,2966
28051,55077,51256
63049,65009,19743
48690,55935,1600
60486,24604,17649
1295,12460,11052
18074,43399,45675
57866,44668,18415
37513,13678,15144
17313,7904,43522
43055,30488,16662
6196,37483,6882
4624,46965,41309
7225,15393,7492
52628,15212,15192
15295,17084,64112
61235,3918,23220
51125,17006,13046
30043,11154,1941
41276,12200,3097
64902,65308,56527
21363,31966,54807
48889,14147,36892
17483,9139,34265
11804,56446,61197
27906,65225,49206
61893,63668,7054
1514,5285,61573
26095,17709,36838
17880,35454,20930
55966,31100,35997
15065,40824,33119
13419,54276,55526
39539,37931,18631
40057,38636,7167
25929,49600,274
1571,51093,59828
5757,46992,26278
57741,28366,55354
61006,24162,27800
34906,37766,41847
63164,22141,1325
3660,47007,37440
23604,4711,56271
44376,38842,15255
13690,6715,35873
64220,34616,38059
41402,22949,65460
6060,42337,42882
38117,38253,23876
36835,55938,55639
26342,61517,43669
2816,63782,58922
47717,60755,49526
63281,3955,18445
44920,39896,14095
27994,48300,11328
39224,62798,58210
6685,31383,38293
31108,20179,51333
50426,28136,54454
55574,18920,31518
56157,11425,20914
46584,1276,46308
25339,6715,16822
54536,46746,62192
25631,42422,25925
24319,1049,28186
48900,11273,49416
2734,5821,30772
52455,4104,20139
14760,31501,27238
15814,44786,449
8783,64838,34446
7444,58492,62059
46198,11318,36732
29155,19863,33838
64809,26688,64372
64225,21925,5923
9394,30477,55859
10262,51043,5707
1279,55905,24474
56596,47224,63258
1347,37219,61565
29717,49486,6008
18184,63743,11063
59782,20439,18991
65437,41592,35420
49006,60102,24913
25350,57126,31580
47558,35820,53737
53807,9633,48365
40841,43746,21035
52192,49186,27153
33815,14777,31690
11892,25641,13927
834,35175,14121
5284,62178,11103
36958,9374,10883
48770,14231,42165
37719,18655,31485
58739,4927,26159
43080,28742,48099
17067,48141,9291
33523,42216,32782
13839,38618,27975
54255,45938,13621
11135,22613,38790
37709,5963,21440
60017,54396,33837
51709,53426,29222
7284,32642,41576
6395,26109,16562
37987,41217,42048
34586,50144,64722
10881,29947,57390
58878,39041,20370
54733,23350,35975
15405,46987,31664
22894,40700,4961
56935,18922,24871
23611,1526,11821
64816,58370,36369
12556,33981,13037
45147,35500,47854
21389,59790,19689
47896,7758,37288
7799,52802,19423
58731,37161,38297
5133,49781,6980
1272,39374,6348
1259,36196,64658
45819,55765,16456
19839,7370,25299
47642,11086,62736
39877,12845,13731
5295,9314,48349
13430,43052,53936
63294,16957,676
58703,36981,56788
6780,8506,35945
64295,18958,14524
13355,64666,22721
5562,38434,40824
28666,60806,45011
5824,35333,34791
49907,51731,16889
65446,27958,3929
34058,16396,12573
45728,3641,7341
48070,53355,9990
639,54583,58662
26384,37510,8325
62223,2044,23059
24658,13356,7043
6889,55216,43426
48043,3964,29658
54691,63675,4983
59025,13492,50586
29661,21332,54451
60249,4446,56164
43256,63461,28180
12295,8307,63575
44693,16630,36330
9731,316,21298
63351,34190,48605
59638,56246,16002
4011,43548,36100
32629,45702,14524
26573,53888,23785
21152,54342,8195
21949,46233,58802
63339,14356,35171
52279,45073,16077
44369,46812,31060
8286,44581,48996
564,24121,36742
2029,31437,35873
63753,56767,153
58854,22848,35957
28737,33951,4639
17098,50271,9602
3243,14051,6744
15610,16798,13246
13935,18368,30759
17382,55381,57632
19102,60676,3528
29233,21184,34716
47670,52084,5283
19505,51504,44878
63340,19819,37471
51021,60498,47383
31075,17911,57943
28044,29243,11734
5766,9708,53426
1726,49022,37224
51870,44453,38578
34446,43717,41578
19047,43068,48125
36363,11141,29079
44165,25797,24771
7993,36233,6272
14540,4749,37954
46295,3347,62926
46161,26476,46917
27123,42420,4314
41864,5151,14894
2157,14228,46520
51116,38046,38340
45410,48079,9982
25540,44342,61668
17703,56122,54313
2383,17959,13419
58973,37845,56263
57762,33240,48101
22973,30358,61115
24203,50052,60523
56120,64464,42354
20424,40845,4106
45387,25101,10936
57755,9605,40919
50070,22524,46880
14741,59463,42925
17631,57914,53938
41371,16145,23369
1681,10478,37110
15317,51595,1098
50095,58848,42438
61724,5771,42406
2929,35820,62574
46495,56141,13805
46135,13653,14531
23131,32494,52867
16756,65073,42746
36326,56657,7272
32729,18563,3570
63056,41727,44373
750,31148,10503
20404,8868,30274
16235,60717,8497
38146,17885,7980
59735,53284,22928
5666,55213,16096
44624,13155,30172
262,64080,21848
27715,11869,28798
21522,43373,26426
47425,41235,17230
14396,15071,19717
28961,35743,55671
65450,13254,56860
28151,6634,40970
17684,56132,38889
35185,27161,36371
16575,62016,38076
42616,62200,16116
62802,36810,42405
14527,10990,33397
29790,44692,41781
55048,25553,17504
55393,18661,25478
52292,50843,37370
5035,13559,36763
46220,48376,26468
5915,45293,38850
58807,8704,27857
39318,6732,3211
16186,18775,3725
110,20489,16606
5356,48478,4380
30049,42359,45793
20601,61964,21403
7732,30002,22095
58333,48001,51257
55285,37523,53950
14286,53990,13714
53825,63306,5015
57136,49236,31484
20791,300,39941
56677,59484,20592
65143,14927,47409
22632,17679,57179
5057,21383,39091
12026,36708,61322
12549,695,23591
6901,48681,49377
38055,45919,36439
15510,2610,54975
33673,42371,28715
63886,29346,52451
55662,22590,4320
64009,57900,58430
23904,15547,50443
61004,50161,23264
25055,61583,45620
30357,13385,3306
5743,60828,22817
63468,54676,46303
51502,11801,25976
44043,21500,35549
25009,59429,19642
46483,46968,33410
28905,64450,29728
16820,37620,33504
9244,4364,48590
23784,20676,60943
53636,24337,19989
9034,7240,8967
20307,40626,27992
44249,8654,48752
18166,34484,44891
15433,48267,62738
16971,22608,26661
10867,53423,10923
6136,13282,13043
30801,14127,40065
30316,55102,16949
36064,50364,52645
24326,18783,9532
7222,17521,22503
45217,18977,28720
20523,32755,1588
1056,64884,10369
59208,48205,55007
4424,32517,19630
28440,48036,44176
41937,18818,36394
56417,7783,24880
6019,43966,46755
32842,1141,46206
64255,9154,29447
35043,45017,32033
31222,58951,18154
35278,46911,35634
8325,26903,8501
43199,24546,43340
11499,42392,41852
23932,49271,56096
34029,64562,17686
48297,5298,43845
41319,55283,1810
62697,62476,15647
14818,60407,23198
35858,20467,12195
54770,33410,58196
13056,33869,52952
56240,2851,34890
64255,43925,59145
25251,30311,15678
21399,54204,11020
31510,25317,59335
63597,59131,4672
15584,58556,29218
7082,17177,39676
29178,18292,55112
60066,13775,19237
8278,18131,9397
59634,35100,31730
375,14209,40693
56144,12623,56923
61779,7634,54103
54268,40495,1383
371,40043,6434
28617,19222,16046
37531,19770,64462
34143,904,14905
7005,18657,65468
42663,36705,33372
17590,31582,23762
29217,32341,38497
44373,19772,62061
2079,45008,4697
57086,47893,46154
46513,3109,43673
20225,4967,48702
63246,62236,3834
9702,11686,26223
37633,8377,28561
39532,29213,4294
14900,35788,21822
60389,51609,50061
11754,7609,41716
10137,35787,23677
63149,24510,4456
36893,41343,51297
31386,24235,51916
55958,8789,17356
29224,61344,53686
36068,42528,44393
26019,14141,26499
47848,51611,39989
40084,63873,27969
18248,63724,37173
14348,18039,20954
44867,28375,46787
28800,7317,2336
19744,59435,693
49342,9699,10909
23521,59502,49112
40254,53610,7279
3655,52512,444
56171,24703,8598
58591,61896,35042
41285,57707,42120
22948,18493,8464
60646,20381,50984
3995,11158,41576
55497,43366,63341
55069,45210,10207
35167,48904,55550
29670,37691,7275
53330,11926,60707
50438,62209,24027
26456,28033,52353
28834,55434,60732
28570,20658,3761
47309,62377,18208
14735,1523,63102
33757,48495,5181
10547,33008,37583
48410,26204,4279
50894,57406,53058
50435,20930,40999
12607,49774,43310
19280,18931,28718
55402,56422,60587
19485,20288,63944
197,20812,27355
23677,7131,38253
17335,24893,1579
16509,27793,27079
3277,31550,9775
44804,33545,44490
49317,6204,25909
64942,15180,47185
61490,54492,29537
16697,42873,55843
62529,64137,63330
43480,33143,19513
56587,54149,53657
52854,19608,44340
2312,22518,60092
65353,50620,38583
25073,31649,12549
44165,2724,3972
13619,54564,53114
3772,37179,23952
18802,52854,28257
62294,40644,14239
47724,17859,64580
56046,58570,18443
39227,22392,23696
56501,421,59202
42704,38156,40114
27636,47481,31121
26523,30121,20164
29889,15881,35924
51201,13040,22399
23481,59930,38078
8481,45745,33276
54784,14430,19681
8864,31336,31613
27517,127,50939
1908,22346,41624
53779,7554,63785
13347,7233,49755
19878,37174,13708
51738,38158,33482
46725,36789,64910
19208,44288,10616
56761,26019,17326
4136,14244,15912
9452,28389,22405
57882,16663,14690
12078,37545,33699
26551,5550,46637
29018,47463,41876
32858,27948,53061
6524,55309,49987
39121,11445,1199
38931,60062,37411
28307,17008,13473
47496,49393,35290
25310,40443,51478
36640,47477,7967
8113,53032,23776
6456,22996,20812
65035,23490,30437
41750,51226,28936
66,24804,7216
27830,31698,1430
43675,29982,38825
47454,24870,56711
60635,53215,7959
12784,39445,63383
12336,17392,8940
43523,50903,53517
24456,10545,54749
1329,51073,29261
17156,36684,32545
56195,33568,38517
52555,39996,4478
2805,37782,27376
31639,19123,21306
47470,27819,39826
6255,28361,48543
11348,10846,36380
43839,46757,22677
37389,43055,15155
25353,58477,14238
5205,2502,42278
39700,63427,3925
1152,49988,12358
21072,37535,3809
6874,53845,41934
7237,11276,57195
7090,27873,9168
48662,27648,9097
37187,10754,15609
2489,11364,39474
45240,16501,37504
1649,30117,866
9808,54948,7271
43501,59834,30614
11044,27321,45413
47641,42354,19795
61176,7150,25541
34319,21024,43696
18782,20104,25629
58610,62411,32744
11149,62721,5505
65289,56447,4556
21305,17755,53865
21232,17407,14331
58287,51792,18839
48828,49370,1576
26597,19627,7939
19015,28272,53777
35068,7299,25000
28809,50696,62092
28946,16891,9086
17901,53744,19871
61197,10304,29560
36328,15605,61519
26085,34876,57775
47206,6398,5169
47440,47083,20993
16736,15126,33515
39609,23096,581
7227,41590,54744
20137,63454,12370
31919,35828,53374
29109,16658,56233
39027,24581,37202
53767,54489,29741
23864,48690,51904
43858,548,31043
32168,5978,25382
22651,299,31360
34906,48355,60530
56617,64688,9114
35335,12575,30133
36236,62366,47369
49819,12208,26482
47504,28657,57525
11819,59533,62666
16886,52421,30150
4815,29375,26678
12783,55079,9120
15239,18195,7284
20085,37428,21441
53104,42041,53284
42671,41983,12446
11734,25003,47248
39104,26478,29592
61239,38426,46248
46493,62280,10104
2878,54583,34913
13551,50779,52233
18282,63378,22849
12232,1843,14133
5360,14993,53892
45030,8845,50313
39246,49622,50819
46978,44499,31621
29787,2530,13669
4354,35693,17360
58900,7862,43919
6540,64183,17961
7467,8499,44710
58838,3115,60988
35770,5047,46954
5787,48473,4081
15239,48730,46040
8959,15823,62217
36566,49270,56636
44891,3858,47566
3500,57996,52289
24914,1315,14387
17962,25716,705
12046,47997,6463
44515,13337,29055
4496,18054,42647
22747,54186,23169
5236,43648,46639
53684,57353,34005
46256,24642,12303
31261,36224,60853
15555,13687,3460
62253,6426,64262
14314,1252,1978
64438,55490,4572
61052,24763,52715
36449,48419,62913
43669,27053,54705
49511,5565,37656
37129,38674,5141
59654,57834,36772
19910,22179,55186
57761,58724,56211
476,48402,42951
14520,49952,45723
27632,20743,44207
63828,23042,50933
38823,36754,44324
6628,63643,12165
63630,3720,42208
7809,26996,32635
578,46351,22446
28769,2973,12060
15087,29984,12064
2684,9471,56275
17646,12215,28475
24545,20893,2126
7678,51259,23363
259,24082,36028
52579,33283,15426
11364,54205,62615
22091,27138,41268
54507,16946,25518
60666,29078,44025
50846,4844,55689
52564,60343,19279
26637,6467,35692
49920,39078,63830
33756,32057,62864
45147,16534,43410
43530,12545,24514
17140,20865,61310
2274,63562,28503
36902,5869,29726
48420,19622,7217
10738,30383,64812
27066,64395,28355
26470,8613,29427
14988,18261,23163
63477,16160,55603
11372,62139,3772
46558,4112,45451
27744,14819,38208
57279,64924,8244
50579,26079,41895
19706,1800,27463
46337,59364,4022
36929,55874,35081
15563,32218,2717
23709,58198,5245
29843,27980,6494
1800,13567,36058
61999,9135,3217
13500,35923,36218
8663,1355,39477
44397,57038,65203
40637,20497,23098
44186,39326,4632
8585,21742,31994
51585,31475,62266
59674,17325,25998
1541,55566,37135
53345,15076,44140
36944,55095,8738
32537,14058,40753
42312,12307,26131
40230,34411,33385
37616,37540,48182
23845,20876,38991
29645,12288,8569
1031,27289,54366
924,50827,25703
41239,40266,41605
5447,33023,43445
4154,1851,44112
24173,5376,38691
50406,35168,17908
61680,11354,34170
39436,11006,25277
58309,56186,10411
14235,25148,45598
10120,61710,14270
30049,44137,40603
6882,23536,37964
5543,8637,41271
13757,61310,20229
50776,5133,65438
41690,51310,58826
51752,21601,16574
22064,51367,55546
49501,27036,42628
63264,59267,34273
53073,21939,41988
58258,55076,41409
49928,47378,27548
8507,27897,64962
54027,35163,56858
40888,43317,58366
16769,44665,52855
53946,18233,10705
10724,29631,33457
28910,36216,41280
41951,23070,24132
63174,50906,18269
16208,32652,30970
39603,21529,58375
50120,52801,51416
65124,55673,19730
51232,27775,1358
14888,46592,29135
12829,24197,31661
28266,57768,21919
19008,914,60805
58404,58076,9348
14120,7081,61439
61809,47546,35234
46774,21889,2949
24946,54482,49010
38203,19115,63985
61350,32695,32723
56319,53563,63883
21127,57771,51090
44485,50245,22678
40795,55813,54085
49722,62928,63910
63231,58960,58059
40647,45930,38801
58437,55166,65494
35683,814,48411
10022,7635,61554
32003,10595,24964
64108,5972,49172
1207,65297,33285
1294,57016,56495
21715,40626,25795
59825,16368,64714
18072,53769,42243
45632,36915,38758
26976,23472,32762
41909,12126,44924
11909,25160,15659
22061,21074,37677
50364,52854,28703
57856,46473,20067
18183,64097,41082
23656,18395,26430
24792,11037,21116
55709,36284,23442
16013,5346,65422
48950,64641,53638
40655,36846,52356
7163,39542,32733
63321,57910,57604
26428,51673,13618
29228,18629,58038
16701,54767,1447
7713,59602,35963
43670,58208,56223
5928,50511,17973
1614,24013,65312
27142,38020,9426
2635,51204,37641
29970,50077,32858
4489,25451,30031
11065,34442,46642
4926,48884,45692
53830,54289,43050
26134,16261,24394
57623,36462,2142
44576,16116,14200
43513,25607,41522
54816,1042,8841
21104,16555,38176
45451,1041,44961
10352,25099,61017
24462,27406,24730
4070,55010,23532
63586,47755,39274
17428,51140,13956
58512,53954,29522
6068,51080,10836
30061,44188,4350
57902,42221,2156
3005,15443,11388
35401,45938,13507
29713,39029,48215
34247,11547,21789
19446,678,4849
65014,20603,14596
17399,27992,16603
41901,1905,55101
7989,41984,50196
52055,49106,33918
9919,35551,47686
2193,47665,12260
34272,47692,29188
25180,33140,43284
21125,53426,8429
9236,14656,17941
39968,49715,21192
55085,63151,45808
42179,39520,111
51491,61089,59219
6336,47584,59977
22483,64122,33696
30109,43107,41977
58648,22442,9352
37899,3481,21328
19135,25686,15455
38213,37291,31635
39597,37154,2066
14407,7571,6162
46878,23249,26514
12629,55628,6028
40788,21965,17720
12735,37088,40300
14566,49468,55569
34014,0,29591
64015,18887,17037
30376,32367,4070
33611,2429,39159
41530,17802,29885
14732,49862,27782
632,11029,4134
3610,51264,53383
62808,59855,5821
97,7561,55066
31135,4766,27840
63443,5809,25546
39568,1048,51141
15530,50151,28392
40213,47681,52318
54932,23871,17778
52805,9785,27357
36540,14047,1634
3103,54510,9434
52976,19693,52781
28814,18802,47855
40424,44383,9058
43848,32366,16083
52426,65344,35169
42128,58880,30761
21785,33822,39710
13712,55351,45279
4112,15285,31295
8479,19361,14391
60151,21262,56935
58385,25404,42795
24585,59814,29600
52047,62630,23975
22937,36125,8999
17082,65385,5037
64526,52676,12492
40484,50654,41991
31648,5539,11422
55172,58901,9346
46557,60380,35744
632,59761,5656
36623,60618,23297
62416,51050,57308
30924,64157,35726
59347,43362,12630
13219,57499,22740
58036,29887,48633
59713,45905,21920
55099,40778,19161
18386,4812,51610
11581,47565,49537
34580,2057,2816
56648,54522,10170
43875,9862,22059
43330,4024,18150
20014,49487,62642
11408,10952,58347
52890,56752,42092
50236,40618,16419
39617,6329,33793
5003,54468,51552
15558,10935,1396
29309,27518,42832
61390,23111,32078
48649,55865,18147
56714,34425,29874
29017,62070,27927
13866,1754,32937
9638,27493,39442
49211,41622,7212
59025,20665,29554
42126,2918,54029
24790,30054,55439
56172,4310,44494
15066,2147,8873
45812,5458,12446
65530,12815,12535
43094,29762,36159
21937,57170,16556
2126,40217,57013
44406,23968,31293
53108,2224,6733
53412,29404,52589
56141,7149,43709
45957,25657,47119
47581,27606,1676
24321,40905,767
31168,58355,4277
55931,3490,43613
44268,33121,11698
38954,62608,3236
8293,56783,19543
46441,53362,53437
23207,1279,14009
63519,19481,48943
46600,3836,47058
4986,31543,8734
41725,7906,9538
7824,61290,37790
44902,26207,11301
24451,37089,37881
56737,16285,44300
16223,58765,51703
13863,22187,55214
62222,37922,39218
2853,36318,15041
44830,18082,18258
56845,58693,33833
47421,25492,29199
25093,35839,319
11983,50067,2404
30030,38741,16628
18599,710,46109
1191,35207,33770
35979,24065,424
1244,48910,31077
64643,47996,11786
9622,29989,16200
22881,20951,16805
3453,40678,23475
15928,30273,17547
15923,62117,15722
41718,40678,820
7101,52270,2707
19166,30220,30265
63743,44777,58901
58957,21336,9331
21623,22469,60153
34847,63395,19528
38511,35992,42272
15294,177,56150
44644,45252,28157
60729,53255,61478
12684,2698,50412
63349,50336,49149
61941,52832,13163
38127,40413,30382
38670,37883,28984
43708,55109,18262
29460,6452,20801
25709,32834,39168
1245,8317,11308
25776,62480,50368
14034,42799,23570
29369,14186,27609
38026,22245,29417
42904,22170,49782
3782,9329,31058
58697,51511,51272
40292,18937,64423
7943,57812,20540
43056,2136,30180
4666,5357,42708
3277,6641,60019
55737,14737,30281
45804,10337,25419
44615,61734,27386
41358,29237,32054
27311,19347,35607
39497,57962,34164
26516,4143,26131
41964,10356,18361
52173,15166,3800
19546,58104,39668
37745,61053,12933
52354,55008,5815
60221,56800,3643
48703,17519,52809
38795,63560,20937
58818,13093,6309
11906,60349,41310
25613,23136,19199
41356,33328,35356
37153,56927,58194
57462,1216,23235
19371,50099,10547
14477,17469,51786
12915,2927,51581
60940,20264,64191
48969,13916,37675
43483,14135,43884
50218,6645,31203
2799,52535,43130
59869,54726,6460
228,63513,48131
54390,84,38545
38927,52397,7984
21384,31291,59168
62707,33434,23490
20205,36277,52343
29025,64747,38896
31066,35218,14255
31700,12491,18008
32061,8493,26749
63833,38637,54042
30767,5547,22083
47262,22008,11210
9679,24998,431
45347,56531,16752
42060,61746,584
22255,11350,21966
60934,32157,14717
3129,43651,1465
49954,20404,19722
65232,52558,16520
41628,60626,13817
60257,22852,49408
57853,31931,43992
13559,12720,28044
28244,58829,42969
49376,1682,50103
40192,24339,1963
47737,19426,60758
48846,25969,21860
55977,43165,17636
39845,50708,57731
19764,46413,51664
64593,57477,37979
7763,8611,57051
18906,63091,13552
63052,7750,23216
26150,19466,41191
19795,15726,8017
11629,5789,29050
30924,33557,61481
43071,62012,18755
24269,47823,60446
34629,20142,63629
